Name,Price,Category,image
"Decals Design 'Romantic Rose Flowers' Wall Sticker (PVC Vinyl, 50 cm X 70 cm, Multicolour)",5064,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/612d1-Fr3ZL._AC_UL320_.jpg
Airkwick Freshmatic Room Freshner Refill 250 ml (Jasmine Blossom),5099,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31-sNDioXBL._AC_UL320_.jpg
"Pindia PVC DIY 3D Butterfly Home Wall Decor Magnet Sticker for Living and Study Room, Fridge, AC, Nursery Decoration(Pink)...",5058,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/511oHAQB0pL._AC_UL320_.jpg
"Ajanta Quartz Plastic Digital Alarm and Table clock, (8 X 7 X 3.5 cm, White, ODC 190)",5040,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41qMkY1L81L._AC_UL320_.jpg
Webelkart Diya Shape Flower Decorative Urli Bowl for Home Handcrafted Bowl for Floating Flowers and Tea Light Candles Hom...,"50,995",Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81myv4fiv2L._AC_UL320_.jpg
TAZLYN Self Adhesive Mirror for Wall Sticker Mirror Stickers for Wall Mirror Stickers Mirror Stickers for Wall Bathroom Mi...,5099,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31fDQIdm8YL._AC_UL320_.jpg
"Wallstick Motivational Buddha Quotes Vinyl Wall Stickers (115 cm X 60 cm, Multicolour, 57-3161)",5099,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Xt+HCP2xL._AC_UL320_.jpg
iCreations Acrylic Ganesha Customised Home Name Plate (Mirror Gold and Black),5099,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51SyIYoaMYL._AC_UL320_.jpg
"AMB Fog Colours Eco-Friendly Fog Color Holi, Stage Performance, Party Decoration, Safe Hand Made in India, 5 Pieces in a BoX",5099,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61SrMUo9UlL._AC_UL320_.jpg
"OXSAM Digital Smart Back Light Table Mirror Alarm Clock for Office, Home, and Bedroom with Sensor Date and Temperature (Wh...",5099,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61biAy-Mx8L._AC_UL320_.jpg
Treasure House Mozo - Ultimate Brown Rolling Paper with Filter Tips (Pack of 5) by Treasure House.,5050,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/911m0848tVL._AC_UL320_.jpg
"Parag Fragrances Herbal & Natural 5 in 1 Dhoop Sticks 250Gm Pack / Rose, Sandalwood, Mogra, Camphor & Kasturi / 50Gram Eac...",5050,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91H+m52taGL._AC_UL320_.jpg
"Seva Decorative sea shells, craft and decorative miX seashells 400gm pack",5099,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51o5wU2Kw6L._AC_UL320_.jpg
Rajotia craft's Handmade Wooden Gangaur Ishar Figurines Size 16 inch,"50,999",Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61+leM9+w1L._AC_UL320_.jpg
"Wolpin Wall Stickers Wallpaper Decal (45cm X 10 m) DIY PVC Self-Adhesive Bubbles, Kids Room, Lamination Paper, Office, Hom...","50,499",Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71l-ypP44RL._AC_UL320_.jpg
Healthbuddy Stoptar Smoking Filter 10 Packs Of 10 Pcs Each,5000,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51BHL5YPpmL._AC_UL320_.jpg
"Heart Home Artificial Vine Plant with Plastic Pot (Green, 1 Piece)",5019,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/711dsjFUKvL._AC_UL320_.jpg
Chaka Chaundh - Suitable Abdul kalam photo frames for wall - motivational quotes frames - poster with frame - Abdul kalam ...,5099,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/612qHYhLI6L._AC_UL320_.jpg
RDK Original Sandalwood Sticks Scented Processed Mysore Natural Chandan Wood Lakdi for Pooja Tilak Havan & Beauty (35-45 G...,2039,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71RRPtyIY3L._AC_UL320_.jpg
"HEM Precious Chandan Black Incense Sticks (120 Sticks) | Agarbatti for Pooja, Air Purifier & Meditation | Puja Room Items ...",2049,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/616D7X33VHL._AC_UL320_.jpg
ZinteX Metal Wall Clock for Home Decor and Hall Home Big Size Living Room Hall Bedroom Stylish Clock (Gold) (46X46),40569,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61wYaZ9EHPL._AC_UL320_.jpg
"SATYAM KRAFT Acrylic Dancing Flame Led Tea Light Candle For Home Decoration, Gifting, House, Light For Balcony, Room, Birt...","48,200",Home Furnishing,https://m.media-amazon.com/images/I/41SFAv4E1hL._AC_UL320_.jpg
"Pink Pari 2 m Aluminium Foil Stickers, Oil Proof , Kitchen Backsplash Wallpaper Self-Adhesive Wall Sticker Anti-Mold and H...",4899,Home Furnishing,https://m.media-amazon.com/images/I/71JLw26HyNL._AC_UL320_.jpg
"Rey Naturals Lavender Essential Oil for Hair,Skin|100% Pure Lavender Oil with Natural Lavandula Angustifolia EXtract |Calm...",4800,Home Furnishing,https://m.media-amazon.com/images/I/71nuGakORGL._AC_UL320_.jpg
"Ryme Artificial Wild Grass Plant With Pot For Home And Office Decoration (Set Of 4, 4)( Set Of 4), Green",4899,Home Furnishing,https://m.media-amazon.com/images/I/911uUtNB5oL._AC_UL320_.jpg
"SADHUSADHYA 21 Shape of Mirror Craft (TOTAL-2100 Pices,100 Piece of Each Shape)",4899,Home Furnishing,https://m.media-amazon.com/images/I/717GD9Za5rL._AC_UL320_.jpg
TIMESETL Wood Coper Wind Chime for Home Bedroom Balcony Garden Etc. for (Decorate Item),"48,599",Home Furnishing,https://m.media-amazon.com/images/I/710xUFpawML._AC_UL320_.jpg
"Blooming Floret Artificial Monstera Plant with Black Pot for Home, Office Decor | 18 Medium Size Leaves Plant with Pot","48,000",Home Furnishing,https://m.media-amazon.com/images/I/61xDV5GynTL._AC_UL320_.jpg
"Asian Paints Wall-Ons Scootaway Wall Sticker (PVC Vinyl, 0.01 cm X 76.2 cm X 30.48 cm) (AS05M)",4865,Home Furnishing,https://m.media-amazon.com/images/I/61+Bu1bffKL._AC_UL320_.jpg
SAF 7 Horses River Large Framed UV Coated Digital Reprint 14 Inch X 20 Inch Painting (SANFH11) SANFH11(multicolor1),"48,999",Home Furnishing,https://m.media-amazon.com/images/I/71fbiLXHlpL._AC_UL320_.jpg
"Ajanta Quartz Plastic Abstract Rectangle Digital Alarm Wall Clock (Black and Brown, 29 cm X 19 cm X 2.5 cm, ODC 130)","48,025",Home Furnishing,https://m.media-amazon.com/images/I/311aGYbrKEL._AC_UL320_.jpg
"Generic PnF Durga Maa Religious Wood Photo Frames with Acrylic Sheet (Glass) for Worship/Pooja(photoframe,Multicolour,8X6i...",4899,Home Furnishing,https://m.media-amazon.com/images/I/61DbiSMreIL._AC_UL320_.jpg
Pauwer 12 Pack (43.2 FT) Artificial Wisteria Vine Ratta Fake Wisteria Hanging Garland Silk Long Hanging Bush Flowers Strin...,4899,Home Furnishing,https://m.media-amazon.com/images/I/71I7VfA-ZqL._AC_UL320_.jpg
